slug,name
ca_bc,British Columbia
ca_ab,Alberta
ca_sk,Saskatchewan
ca_mb,Manitoba
ca_on,Ontario
ca_qc,Quebec
ca_nb,New Brunswick
ca_ns,Nova Scotia
ca_pe,Prince Edward Island
ca_nl,Newfoundland and Labrador
ca_yt,Yukon Territory
ca_nt,Northwest Territories
ca_nu,Nunavut
